"Regionale kerncijfers Nederland"
"";"Onderwerpen";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking"
"";"Onderwerpen";"Bevolkingssamenstelling op 1 januari";"Bevolkingssamenstelling op 1 januari";"Bevolkingssamenstelling op 1 januari";"Bevolkingssamenstelling op 1 januari";"Bevolkingssamenstelling op 1 januari";"Particuliere huishoudens"
"";"Onderwerpen";"Burgerlijke staat";"Burgerlijke staat";"Burgerlijke staat";"Burgerlijke staat";"Burgerlijke staat";"Gemiddelde huishoudensgrootte"
"";"Onderwerpen";"Bevolking 15 jaar of ouder";"Bevolking 15 jaar of ouder";"Bevolking 15 jaar of ouder";"Bevolking 15 jaar of ouder";"Bevolking 15 jaar of ouder";"Gemiddelde huishoudensgrootte"
"";"Onderwerpen";"Inwoners 15 jaar of ouder";"Ongehuwd";"Gehuwd";"Gescheiden";"Verweduwd";"Gemiddelde huishoudensgrootte"
"Regio's";"Perioden";"aantal";"in % van  inwoners 15 jaar of ouder";"in % van  inwoners 15 jaar of ouder";"in % van  inwoners 15 jaar of ouder";"in % van  inwoners 15 jaar of ouder";"personen per 1 huishouden"
"Groningen (PV)";"2010";"484931";"39.5";"45.9";"7.8";"6.7";"2.05"
"Groningen (PV)";"2015";"496821";"42.2";"43.0";"8.4";"6.4";"1.98"
"Friesland (PV)";"2010";"529000";"33.3";"52.4";"7.5";"6.9";"2.27"
"Friesland (PV)";"2015";"535407";"34.9";"50.0";"8.3";"6.8";"2.22"
"Drenthe (PV)";"2010";"403495";"29.2";"55.6";"7.6";"7.5";"2.31"
"Drenthe (PV)";"2015";"407702";"31.0";"53.0";"8.6";"7.5";"2.26"
"Overijssel (PV)";"2010";"917514";"33.0";"53.7";"6.6";"6.7";"2.34"
"Overijssel (PV)";"2015";"935776";"34.4";"51.7";"7.4";"6.5";"2.31"
"Flevoland (PV)";"2010";"304743";"34.7";"51.7";"9.4";"4.2";"2.44"
"Flevoland (PV)";"2015";"320922";"36.4";"49.4";"10.1";"4.2";"2.40"
"Gelderland (PV)";"2010";"1638515";"33.1";"53.1";"7.2";"6.6";"2.30"
"Gelderland (PV)";"2015";"1683785";"34.8";"50.7";"8.0";"6.4";"2.24"
"Utrecht (PV)";"2010";"992628";"37.9";"48.8";"7.8";"5.5";"2.22"
"Utrecht (PV)";"2015";"1034009";"39.6";"46.8";"8.3";"5.4";"2.19"
"Noord-Holland (PV)";"2010";"2207950";"39.5";"45.1";"9.6";"5.8";"2.10"
"Noord-Holland (PV)";"2015";"2303852";"41.8";"42.9";"9.9";"5.4";"2.08"
"Zuid-Holland (PV)";"2010";"2891764";"36.3";"48.3";"9.1";"6.2";"2.17"
"Zuid-Holland (PV)";"2015";"2986596";"38.1";"46.5";"9.6";"5.9";"2.14"
"Zeeland (PV)";"2010";"316106";"28.4";"55.9";"8.3";"7.4";"2.24"
"Zeeland (PV)";"2015";"319484";"29.8";"53.8";"9.1";"7.3";"2.19"
"Noord-Brabant (PV)";"2010";"2022074";"33.0";"52.9";"7.7";"6.3";"2.28"
"Noord-Brabant (PV)";"2015";"2085837";"35.1";"50.1";"8.5";"6.3";"2.22"
"Limburg (PV)";"2010";"953358";"31.0";"53.1";"8.5";"7.4";"2.19"
"Limburg (PV)";"2015";"963469";"33.2";"50.0";"9.4";"7.4";"2.11"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 8-1-2018"
