"Religieuze betrokkenheid; kerkelijke gezindte; regio";;;;;;
;Onderwerpen;Bezoek religieuze dienst;Bezoek religieuze dienst;Bezoek religieuze dienst;Bezoek religieuze dienst;Bezoek religieuze dienst
;Onderwerpen;Een keer per week of vaker;Twee tot drie keer per maand;Een keer per maand;Minder dan een keer per maand;Zelden of nooit
Regio's;Perioden;% van de bevolking;% van de bevolking;% van de bevolking;% van de bevolking;% van de bevolking
Groningen (PV);2010;13;3;2;5;77
Groningen (PV);2015;11;4;2;2;81
Friesland (PV);2010;11;5;4;5;75
Friesland (PV);2015;11;6;3;5;76
Drenthe (PV);2010;9;5;4;5;77
Drenthe (PV);2015;8;4;3;4;82
Overijssel (PV);2010;13;6;5;8;68
Overijssel (PV);2015;14;5;4;7;70
Flevoland (PV);2010;15;3;3;4;75
Flevoland (PV);2015;14;4;3;4;76
Gelderland (PV);2010;12;5;4;8;72
Gelderland (PV);2015;13;4;3;6;74
Utrecht (PV);2010;12;4;3;7;74
Utrecht (PV);2015;13;4;3;5;76
Noord-Holland (PV);2010;6;3;3;5;83
Noord-Holland (PV);2015;6;3;3;5;84
Zuid-Holland (PV);2010;13;4;4;6;74
Zuid-Holland (PV);2015;12;4;3;6;76
Zeeland (PV);2010;16;5;3;7;69
Zeeland (PV);2015;21;2;3;4;70
Noord-Brabant (PV);2010;6;3;4;13;73
Noord-Brabant (PV);2015;6;3;4;10;79
Limburg (PV);2010;7;4;7;17;65
Limburg (PV);2015;5;3;5;13;74
© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 8-1-2018;;;;;;
